Location,State,County,Diversity-Index
"Harrison County, TX", TX,Harrison County,0.52897
"Jackson County, OK", OK,Jackson County,0.528564
"Marengo County, AL", AL,Marengo County,0.52855
"Candler County, GA", GA,Candler County,0.52841
"Monroe County, AR", AR,Monroe County,0.528269
"Richmond County, VA", VA,Richmond County,0.528257
"Claiborne Parish, LA", LA,Claiborne Parish,0.528236
"Washington County, GA", GA,Washington County,0.528219
"Greenwood County, SC", SC,Greenwood County,0.528056
"Colusa County, CA", CA,Colusa County,0.527825
"Nobles County, MN", MN,Nobles County,0.527814
"Sequoyah County, OK", OK,Sequoyah County,0.527747
"Winston County, MS", MS,Winston County,0.527666
"Grant County, WA", WA,Grant County,0.527542
"San Benito County, CA", CA,San Benito County,0.527412
"Rosebud County, MT", MT,Rosebud County,0.52731
"Thomas County, GA", GA,Thomas County,0.527184
"Collingsworth County, TX", TX,Collingsworth County,0.527085
"Knox County, TX", TX,Knox County,0.527048
"Jefferson County, FL", FL,Jefferson County,0.526757
"Craig County, OK", OK,Craig County,0.526534
"Jefferson County, AR", AR,Jefferson County,0.526248
"Edgecombe County, NC", NC,Edgecombe County,0.52618
"Benson County, ND", ND,Benson County,0.526149
"Prince George's County, MD", MD,Prince George's County,0.526125
"Panola County, MS", MS,Panola County,0.526081
"Ouachita County, AR", AR,Ouachita County,0.526027
"Escambia County, AL", AL,Escambia County,0.525935
"Valencia County, NM", NM,Valencia County,0.525894
"East Feliciana Parish, LA", LA,East Feliciana Parish,0.525809
"San Patricio County, TX", TX,San Patricio County,0.52578
"Conecuh County, AL", AL,Conecuh County,0.525778
"Spalding County, GA", GA,Spalding County,0.52574
"Floyd County, TX", TX,Floyd County,0.525607
"Walthall County, MS", MS,Walthall County,0.525554
"Kent County, DE", DE,Kent County,0.525251
"St. James Parish, LA", LA,St. James Parish,0.525213
"Taliaferro County, GA", GA,Taliaferro County,0.52487
"Hertford County, NC", NC,Hertford County,0.524716
"Clark County, ID", ID,Clark County,0.524687
"St. Bernard Parish, LA", LA,St. Bernard Parish,0.524634
"Buena Vista County, IA", IA,Buena Vista County,0.524584
"De Soto Parish, LA", LA,De Soto Parish,0.524418
"Macon County, GA", GA,Macon County,0.524324
"Wilcox County, GA", GA,Wilcox County,0.523765
"McCormick County, SC", SC,McCormick County,0.523422
"Butler County, AL", AL,Butler County,0.52337
"Inyo County, CA", CA,Inyo County,0.523314
"Bienville Parish, LA", LA,Bienville Parish,0.523297
"Morehouse Parish, LA", LA,Morehouse Parish,0.523222
"Schleicher County, TX", TX,Schleicher County,0.523098
"Saguache County, CO", CO,Saguache County,0.522902
"Mineral County, NV", NV,Mineral County,0.522881
"Mississippi County, AR", AR,Mississippi County,0.522788
"Will County, IL", IL,Will County,0.522787
"Rusk County, TX", TX,Rusk County,0.522781
"Pike County, MS", MS,Pike County,0.522646
"Emanuel County, GA", GA,Emanuel County,0.522544
"Lee County, TX", TX,Lee County,0.522405
"Screven County, GA", GA,Screven County,0.522266
"Wilkinson County, GA", GA,Wilkinson County,0.522181
"Ochiltree County, TX", TX,Ochiltree County,0.522061
"Otero County, CO", CO,Otero County,0.52206
"Whitfield County, GA", GA,Whitfield County,0.522024
"Quitman County, GA", GA,Quitman County,0.522013
"St. Landry Parish, LA", LA,St. Landry Parish,0.522006
"Darlington County, SC", SC,Darlington County,0.521992
"Washoe County, NV", NV,Washoe County,0.521663
"St. Helena Parish, LA", LA,St. Helena Parish,0.52163
"Seminole County, OK", OK,Seminole County,0.521448
"Lake and Peninsula Borough, AK", AK,Lake and Peninsula Borough,0.521401
"Clarke County, AL", AL,Clarke County,0.521338
